Name,Date_Injured,Date_Recovered,Team,Year,Injury_Category,Keep
David Palmer,2000-07-23,2000-07-27,MIN,2000.0,Not Specified,1.0
Robbie Tobeck,2000-08-20,2000-10-14,SEA,2000.0,Not Specified,1.0
OJ McDuffie,2000-08-22,2000-10-23,MIA,2000.0,Not Specified,1.0
Adrian Klemm,2000-08-27,2000-11-01,NWE,2000.0,Not Specified,1.0
Aaron Gibson,2001-07-24,2001-07-27,DET,2001.0,Not Specified,1.0
Corey Moore b 1979-03-20,2001-07-25,2001-08-01,BUF,2001.0,Not Specified,1.0
Lance Schulters,2001-07-29,2001-08-06,SFO,2001.0,Not Specified,1.0
Matt Joyce,2001-07-24,2001-08-06,DET,2001.0,Not Specified,1.0
Shaun Rogers,2001-07-24,2001-08-06,DET,2001.0,Not Specified,1.0
Samari Rolle,2001-07-28,2001-08-14,OTI,2001.0,Not Specified,1.0
Hundens Zellner,2001-07-22,2001-08-14,DAL,2001.0,Not Specified,1.0
Mike Lucky,2001-07-22,2001-08-14,DAL,2001.0,Not Specified,1.0
Elliss Johnson,2001-07-27,2001-08-20,CLT,2001.0,Not Specified,1.0
Greg Clark b 1972-04-07,2001-07-29,2001-09-02,SFO,2001.0,Not Specified,1.0
Pat Dennis,2001-09-02,2001-10-03,KAN,2001.0,Knee,1.0
Jared DeVries,2001-08-28,2001-10-27,DET,2001.0,Not Specified,1.0
Mike Mohring,2001-08-28,2001-11-03,SDG,2001.0,Not Specified,1.0
Lenoy Jones,2001-08-27,2001-11-09,CLE,2001.0,Not Specified,1.0
Alonzo Mayes,2001-09-02,2001-11-13,MIA,2001.0,Not Specified,1.0
Arther Love,2001-08-28,2001-11-21,NWE,2001.0,Not Specified,1.0
Nick Williams a,2001-08-27,2001-11-27,CIN,2001.0,ACL,1.0
Antony Jordan,2001-11-27,2002-02-21,ATL,2001.0,Not Specified,1.0
Desmond Howard,2002-07-23,2002-07-25,DET,2002.0,Not Specified,1.0
Jay Riemersma,2002-07-25,2002-07-28,BUF,2002.0,Not Specified,1.0
Matt Joyce,2002-07-23,2002-08-11,DET,2002.0,Not Specified,1.0
Brian Williams M,2002-07-25,2002-08-12,DET,2002.0,Not Specified,1.0
Peter Boulware,2002-07-26,2002-08-16,RAV,2002.0,Not Specified,1.0
Shaun Rogers,2002-07-25,2002-08-19,DET,2002.0,Not Specified,1.0
Terry Fair,2002-07-23,2002-08-19,DET,2002.0,Not Specified,1.0
Earl Dotson,2002-07-26,2002-08-28,GNB,2002.0,Not Specified,1.0
Alonzo Mayes,2002-08-27,2002-09-17,MIA,2002.0,Not Specified,1.0
Germane Crowell,2002-08-26,2002-10-19,DET,2002.0,Not Specified,1.0
Damon Moore,2002-09-01,2002-11-01,CHI,2002.0,Not Specified,1.0
Marvin Minnis,2002-09-01,2002-11-06,KAN,2002.0,Not Specified,1.0
David Szott,2002-08-27,2002-11-18,NYJ,2002.0,ACL,1.0
Regan Upshaw,2002-08-26,2002-11-20,RAI,2002.0,ACL,1.0
Az-Zahir Hakim,2003-07-24,2003-07-27,DET,2003.0,Not Specified,1.0
Tony Semple,2003-07-26,2003-07-31,DET,2003.0,Not Specified,1.0
Jimmy McClain,2003-07-25,2003-08-04,HTX,2003.0,Not Specified,1.0
Shawn Bryson,2003-07-24,2003-08-04,DET,2003.0,Not Specified,1.0
Mikhael Ricks,2003-07-24,2003-08-04,DET,2003.0,Not Specified,1.0
Will Hunter,2003-07-21,2003-08-04,NYJ,2003.0,Not Specified,1.0
Corey Harris,2003-07-24,2003-08-11,DET,2003.0,Not Specified,1.0
Brian Williams M,2003-07-24,2003-08-11,DET,2003.0,Not Specified,1.0
Kalimba Edwards,2003-07-24,2003-08-25,DET,2003.0,Not Specified,1.0
Terrence Wilkins,2003-08-26,2003-08-30,CAR,2003.0,Not Specified,1.0
Juran Bolden,2003-08-25,2003-10-15,ATL,2003.0,Not Specified,1.0
James Whitley,2003-08-26,2003-10-17,RAM,2003.0,Not Specified,1.0
Montique Sharpe,2003-08-26,2003-10-20,KAN,2003.0,Foot,1.0
Nick Davis,2003-08-25,2003-10-24,MIN,2003.0,Not Specified,1.0
Marcus Williams A,2003-08-26,2003-10-28,RAI,2003.0,Not Specified,1.0
Juran Bolden,2003-08-25,2003-10-31,ATL,2003.0,Not Specified,1.0
Michael Bennett A,2003-08-25,2003-10-31,MIN,2003.0,Not Specified,1.0
Chas Gessner,2003-08-26,2003-11-13,NWE,2003.0,Not Specified,1.0
Frisman Jackson,2003-08-31,2003-11-14,CLE,2003.0,Not Specified,1.0
Luther Elliss,2003-08-31,2003-11-15,DET,2003.0,Foot,1.0
Kevin Dyson,2003-08-25,2003-11-22,CAR,2003.0,Not Specified,1.0
Artose Pinner,2003-08-25,2003-11-24,DET,2003.0,Foot,1.0
Jerome Davis Devon,2004-09-05,2004-10-13,SFO,2004.0,Foot,1.0
Chris Johnson Mario,2004-08-29,2004-10-20,GNB,2004.0,Not Specified,1.0
Marc Colombo,2004-09-04,2004-11-08,CHI,2004.0,Not Specified,1.0
Lorenzo Bromell,2004-08-30,2004-11-09,NYG,2004.0,Not Specified,1.0
Chris Johnson Mario,2004-08-29,2004-11-10,GNB,2004.0,Not Specified,1.0
Willie Whitehead,2004-09-05,2004-11-12,NOR,2004.0,Not Specified,1.0
Keith Heinrich,2004-08-30,2004-11-16,CLE,2004.0,Not Specified,1.0
Adimchinobe Echemandu,2004-08-30,2004-11-16,CLE,2004.0,Foot,1.0
Anthony Wright,2004-09-01,2004-11-17,RAV,2004.0,Not Specified,1.0
Matt ODwyer,2004-08-31,2004-11-30,TAM,2004.0,Not Specified,1.0
Kendyll Pope,2004-08-31,2004-12-01,CLT,2004.0,Not Specified,1.0
Chris Day,2005-06-14,2005-07-06,GNB,2005.0,Not Specified,1.0
Tim Dwight,2005-07-27,2005-08-01,NWE,2005.0,Foot,1.0
Eddie Moore Deon,2005-07-24,2005-08-15,MIA,2005.0,Knee,1.0
Joseph Scott,2005-08-11,2005-08-18,NYG,2005.0,Not Specified,1.0
Dwight Freeney,2005-08-02,2005-08-18,CLT,2005.0,Not Specified,1.0
Stephen Davis,2005-07-29,2005-08-22,CAR,2005.0,Not Specified,1.0
Todd Heap,2005-07-25,2005-08-22,RAV,2005.0,Not Specified,1.0
Bethel Johnson,2005-07-26,2005-09-01,NWE,2005.0,Ankle,1.0
Tedy Bruschi,2005-08-30,2005-10-29,NWE,2005.0,Not Specified,1.0
Steven Vieira,2005-08-28,2005-10-31,CIN,2005.0,Foot,1.0
Bryan Johnson a,2005-08-30,2005-11-06,CHI,2005.0,Not Specified,1.0
Caleb Miller,2005-09-03,2005-11-07,CIN,2005.0,Ankle,1.0
Jason McKie,2005-09-02,2005-11-08,CHI,2005.0,Foot,1.0
Musa Smith,2005-08-30,2005-11-09,RAV,2005.0,Not Specified,1.0
Josh Williams,2005-08-30,2005-11-20,CLT,2005.0,Not Specified,1.0
Airese Currie,2005-09-02,2005-11-23,CHI,2005.0,Foot,1.0
Shawn Barber,2005-08-30,2005-11-25,KAN,2005.0,ACL,1.0
Nate Webster,2005-08-30,2005-11-29,CIN,2005.0,Knee,1.0
Von Hutchins,2005-09-03,2005-11-30,CLT,2005.0,Not Specified,1.0
Curtis Martin,2005-12-16,2005-12-17,NYJ,2005.0,Knee,1.0
Justin McCareins,2006-07-26,2006-07-29,NYJ,2006.0,Not Specified,1.0
Rayshun Reed,2006-07-26,2006-07-29,NYJ,2006.0,Not Specified,1.0
Stanley Wilson b,2006-07-28,2006-07-30,DET,2006.0,Not Specified,1.0
Lonie Paxton,2006-07-27,2006-07-31,NWE,2006.0,Not Specified,1.0
Brandon Childress,2006-07-27,2006-08-01,NWE,2006.0,Not Specified,1.0
Chad Jackson,2006-07-27,2006-08-01,NWE,2006.0,Not Specified,1.0
Rodney Harrison,2006-07-25,2006-08-07,NWE,2006.0,Knee,1.0
Pat Williams,2006-07-31,2006-08-07,MIN,2006.0,Not Specified,1.0
Richard Seymour,2006-07-27,2006-08-07,NWE,2006.0,Not Specified,1.0
Johnathan Sullivan,2006-07-27,2006-08-07,NWE,2006.0,Not Specified,1.0
Randall Gay,2006-07-25,2006-08-07,NWE,2006.0,Knee,1.0
Dan Koppen,2006-07-25,2006-08-07,NWE,2006.0,Knee,1.0
Jonathan Welsh,2006-07-31,2006-08-12,CLT,2006.0,Not Specified,1.0
James Hodgins,2006-07-30,2006-08-21,CRD,2006.0,Knee,1.0
Nick Kaczur,2006-07-27,2006-08-22,NWE,2006.0,Not Specified,1.0
Trey Teague,2006-07-26,2006-08-29,NYJ,2006.0,Not Specified,1.0
Chris Perry,2006-09-02,2006-10-20,CIN,2006.0,Knee,1.0
Kailee Wong,2006-09-01,2006-10-22,HTX,2006.0,Knee,1.0
Michael Lewis L,2006-09-01,2006-10-29,NOR,2006.0,Knee,1.0
Curtis Martin,2006-07-26,2006-11-01,NYJ,2006.0,Knee,1.0
Luke McCown,2006-08-29,2006-11-03,TAM,2006.0,Knee,1.0
Teddy Lehman,2006-08-31,2006-11-05,DET,2006.0,Foot,1.0
Roman Oben,2006-08-28,2006-11-15,SDG,2006.0,Foot,1.0
Jerome Mathis,2006-07-28,2006-11-28,HTX,2006.0,Foot,1.0
Jonathan Fanene,2006-09-02,2006-11-28,CIN,2006.0,Hamstring,1.0
Adam Bergen,2006-12-19,2007-02-10,CRD,2006.0,Knee,1.0
CJ Hawthorne,2009-07-25,2009-07-31,BUF,2009.0,Leg,1.0
Marshal Yanda,2009-07-28,2009-07-31,RAV,2009.0,Not Specified,1.0
Stephen Hodge,2009-07-29,2009-08-03,DAL,2009.0,Knee,1.0
Jason Phillips,2009-07-28,2009-08-03,RAV,2009.0,Not Specified,1.0
Yamon Figurs,2009-07-28,2009-08-04,RAV,2009.0,Not Specified,1.0
Ricky Jean Francois,2009-07-29,2009-08-05,SFO,2009.0,Foot,1.0
Kenny Britt,2009-08-02,2009-08-07,OTI,2009.0,Hamstring,1.0
Rich Ohrnberger,2009-07-27,2009-08-10,NWE,2009.0,Not Specified,1.0
Ty Warren,2009-07-27,2009-08-10,NWE,2009.0,Knee,1.0
Robert Gallery,2009-07-30,2009-08-10,RAI,2009.0,Not Specified,1.0
Ray McDonald Antoine,2009-07-31,2009-08-24,SFO,2009.0,Not Specified,1.0
Javon Walker,2009-07-30,2009-08-24,RAI,2009.0,Knee,1.0
Dusty Dvoracek,2009-08-28,2009-08-31,CHI,2009.0,ACL,1.0
Billy Miller,2009-09-05,2009-09-06,NOR,2009.0,Achilles,1.0
Matt McChesney,2009-09-04,2009-09-09,DEN,2009.0,Ankle,1.0
Nate Salley,2009-09-01,2009-09-22,CAR,2009.0,Knee,1.0
Michael Ray Garvin,2009-09-08,2009-09-29,CRD,2009.0,Knee,1.0
Brandon Tate,2009-08-31,2009-10-24,NWE,2009.0,ACL,1.0
Mark LeVoir,2009-07-27,2009-10-24,NWE,2009.0,Shoulder,1.0
Marcus Trufant,2009-07-31,2009-10-30,SEA,2009.0,Back,1.0
Matt Roth,2009-09-05,2009-10-31,MIA,2009.0,Groin,1.0
Kolby Smith,2009-09-01,2009-11-07,KAN,2009.0,Knee,1.0
James Hardy b,2009-09-05,2009-11-11,BUF,2009.0,Not Specified,1.0
Antonio Chatman,2009-09-05,2009-11-17,CIN,2009.0,Ankle,1.0
Ben Utecht,2009-08-31,2009-11-17,CIN,2009.0,Concussion,1.0
John Bowie,2009-09-30,2009-11-24,RAI,2009.0,Knee,1.0
David Martin Earl,2009-09-07,2009-12-08,MIA,2009.0,Knee,1.0
Jeff Ulbrich,2009-10-19,2009-12-10,SFO,2009.0,Concussion,1.0
Kelvin Smith Vincent,2009-12-02,2009-12-14,CAR,2009.0,Knee,1.0
Chris Henry a,2009-11-09,2009-12-17,CIN,2009.0,Forearm,1.0
Demarcus Faggins,2009-11-03,2009-12-29,DET,2009.0,Groin,1.0
Adam Jennings,2009-10-05,2009-12-29,DET,2009.0,Ankle,1.0
Glenn Sharpe,2009-10-27,2010-01-12,ATL,2009.0,Not Specified,1.0
Jason Banks,2010-01-05,2010-01-13,CRD,2009.0,Ankle,1.0
Justin Rogers a,2009-12-26,2010-02-08,KAN,2009.0,Quadricep/Thigh,1.0
EJ Henderson,2009-12-09,2010-02-10,MIN,2009.0,Not Specified,1.0
Kentwan Balmer,2009-12-09,2010-02-10,SFO,2009.0,Shoulder,1.0
Shawn Crable,2009-09-05,2010-02-10,NWE,2009.0,Groin,1.0
George Bussey,2009-09-05,2010-02-10,NWE,2009.0,Knee,1.0
Bret Lockett,2009-12-09,2010-02-10,NWE,2009.0,Groin,1.0
Brandon Tate,2009-11-14,2010-02-10,NWE,2009.0,Knee,1.0
Thomas Davis,2009-11-10,2010-02-10,CAR,2009.0,Knee,1.0
Tyrone McKenzie,2009-08-31,2010-02-10,NWE,2009.0,Knee,1.0
Steve Smith Latrall,2010-01-01,2010-02-10,CAR,2009.0,Forearm,1.0
Louis Leonard,2009-09-22,2010-02-10,CAR,2009.0,Ankle,1.0
Landon Johnson,2009-11-24,2010-02-10,CAR,2009.0,MCL,1.0
Josh McCown,2009-09-14,2010-02-10,CAR,2009.0,Knee,1.0
Jordan Gross,2009-11-17,2010-02-10,CAR,2009.0,Ankle,1.0
Jeff Otah,2009-12-15,2010-02-10,CAR,2009.0,Shoulder,1.0
Jake Delhomme,2009-12-24,2010-02-10,CAR,2009.0,Finger,1.0
Maake Kemoeatu,2009-08-05,2010-02-10,CAR,2009.0,Achilles,1.0
Wes Welker,2010-01-06,2010-02-10,NWE,2009.0,Knee,1.0
Jon Alston b 1983-06-04,2009-11-25,2010-02-10,RAI,2009.0,Concussion,1.0
Nick Miller b,2009-12-30,2010-02-10,RAI,2009.0,Tibia,1.0
Laurent Robinson,2009-09-29,2010-02-10,RAM,2009.0,Fibula,1.0
Keenan Burton,2009-11-16,2010-02-10,RAM,2009.0,Patellar Tendon,1.0
Jacob Bell,2009-12-15,2010-02-10,RAM,2009.0,Hamstring,1.0
Gary Gibson b 1982-05-05,2009-10-12,2010-02-10,RAM,2009.0,Foot,1.0
Eric Bassey,2009-09-05,2010-02-10,RAM,2009.0,Knee,1.0
Daniel Fells,2009-12-21,2010-02-10,RAM,2009.0,Quadricep/Thigh,1.0
Chris Massey a,2009-10-26,2010-02-10,RAM,2009.0,Knee,1.0
CJ Ah You,2009-11-24,2010-02-10,RAM,2009.0,Knee,1.0
Brooks Foster,2009-09-01,2010-02-10,RAM,2009.0,Ankle,1.0
Bradley Fletcher,2009-10-29,2010-02-10,RAM,2009.0,Knee,1.0
Adam Carriker,2009-09-05,2010-02-10,RAM,2009.0,Shoulder,1.0
Slade Norris,2009-12-30,2010-02-10,RAI,2009.0,Hamstring,1.0
Robert Gallery,2009-12-11,2010-02-10,RAI,2009.0,Back,1.0
Ricky Brown b,2009-11-22,2010-02-10,RAI,2009.0,Ankle,1.0
Oren ONeal,2009-10-14,2010-02-10,RAI,2009.0,Not Specified,1.0
DeMarcus Tyler,2009-12-04,2010-02-10,CAR,2009.0,Knee,1.0
Corvey Irvin,2009-09-05,2010-02-10,CAR,2009.0,MCL,1.0
CJ Davis,2009-08-31,2010-02-10,CAR,2009.0,Not Specified,1.0
Will Blackmon,2009-10-12,2010-02-10,GNB,2009.0,Knee,1.0
Copeland Bryan,2009-10-22,2010-02-10,DET,2009.0,Knee,1.0
Cody Spencer,2009-08-18,2010-02-10,DET,2009.0,ACL,1.0
Casey Fitzsimmons,2009-12-15,2010-02-10,DET,2009.0,Concussion,1.0
Brandon Pettigrew,2009-12-01,2010-02-10,DET,2009.0,ACL,1.0
Leon Washington,2009-10-26,2010-02-10,NYJ,2009.0,Leg,1.0
Larry Izzo,2009-12-10,2010-02-10,NYJ,2009.0,Neck,1.0
Kris Jenkins,2009-10-19,2010-02-10,NYJ,2009.0,Knee,1.0
Aundrae Allison,2009-09-05,2010-02-10,NYJ,2009.0,Not Specified,1.0
Troy Williamson,2009-09-23,2010-02-10,JAX,2009.0,Shoulder,1.0
Scott Starks,2009-11-07,2010-02-10,JAX,2009.0,Hamstring,1.0
Rob Meier,2009-09-05,2010-02-10,JAX,2009.0,Shoulder,1.0
Reggie Hayward,2009-09-16,2010-02-10,JAX,2009.0,Leg,1.0
Jarett Dillard,2009-11-17,2010-02-10,JAX,2009.0,Ankle,1.0
Greg Jones B,2009-12-17,2010-02-10,JAX,2009.0,Ankle,1.0
Don Carey,2009-09-01,2010-02-10,JAX,2009.0,Shoulder,1.0
Damion Cook,2009-08-07,2010-02-10,DET,2009.0,Tricep,1.0
Marc Bulger,2009-12-26,2010-02-10,RAM,2009.0,Knee,1.0
Daniel Bullocks,2009-08-20,2010-02-10,DET,2009.0,Knee,1.0
Jack Williams b,2009-11-17,2010-02-10,DET,2009.0,ACL,1.0
Pat Lee,2009-09-05,2010-02-10,GNB,2009.0,Knee,1.0
Justin Harrell,2009-09-05,2010-02-10,GNB,2009.0,Back,1.0
Jeremy Thompson,2009-12-30,2010-02-10,GNB,2009.0,Neck,1.0
Jason Spitz,2009-11-07,2010-02-10,GNB,2009.0,Back,1.0
Devin Frischknecht,2009-08-25,2010-02-10,GNB,2009.0,Leg,1.0
DeShawn Wynn,2009-10-21,2010-02-10,GNB,2009.0,Knee,1.0
Brett Swain,2009-10-27,2010-02-10,GNB,2009.0,Knee,1.0
Al Harris b 1974-12-07,2009-11-25,2010-02-10,GNB,2009.0,Knee,1.0
Aaron Kampman,2009-12-07,2010-02-10,GNB,2009.0,ACL,1.0
Stephen Peterman,2009-11-20,2010-02-10,DET,2009.0,Ankle,1.0
Matthew Stafford,2009-12-24,2010-02-10,DET,2009.0,Knee,1.0
Marquand Manuel,2009-11-18,2010-02-10,DET,2009.0,Shoulder,1.0
Ko Simpson,2009-11-25,2010-02-10,DET,2009.0,Knee,1.0
Kevin Smith Ryan,2009-12-15,2010-02-10,DET,2009.0,Knee,1.0
Jared DeVries,2009-08-11,2010-02-10,DET,2009.0,Achilles,1.0
Eric King David,2009-10-12,2010-02-10,DET,2009.0,Shoulder,1.0
Clint Ingram,2009-12-21,2010-02-10,JAX,2009.0,Shoulder,1.0
Oshiomogho Atogwe,2009-12-09,2010-02-10,RAM,2009.0,Shoulder,1.0
Brandon McKinney,2009-12-19,2010-02-10,RAV,2009.0,Back,1.0
Keenan Lewis,2009-12-29,2010-02-10,PIT,2009.0,Back,1.0
Greg Warren,2009-12-21,2010-02-10,PIT,2009.0,ACL,1.0
Frank Summers,2009-09-29,2010-02-10,PIT,2009.0,Back,1.0
Darnell Stapleton,2009-08-31,2010-02-10,PIT,2009.0,Knee,1.0
Aaron Smith,2009-10-14,2010-02-10,PIT,2009.0,Shoulder,1.0
Walter Jones,2009-10-27,2010-02-10,SEA,2009.0,Knee,1.0
Limas Sweed,2009-12-21,2010-02-10,PIT,2009.0,Covid/Illness,1.0
Mike Hass,2009-12-30,2010-02-10,SEA,2009.0,Shoulder,1.0
Kevin Houser,2009-12-22,2010-02-10,SEA,2009.0,Rib/Lung,1.0
CJ Wallace,2009-11-04,2010-02-10,SEA,2009.0,Hamstring,1.0
Brandon Frye,2009-10-12,2010-02-10,SEA,2009.0,Neck,1.0
Stanley Arnoux,2009-09-08,2010-02-10,NOR,2009.0,Achilles,1.0
Rodney Leisle,2010-01-15,2010-02-10,NOR,2009.0,Knee,1.0
Rod Harper,2009-10-16,2010-02-10,NOR,2009.0,Foot,1.0
Lofa Tatupu,2009-10-29,2010-02-10,SEA,2009.0,Pectoral/Chest,1.0
Sean McHugh,2009-09-05,2010-02-10,PIT,2009.0,Knee,1.0
Anthony Hill,2009-12-15,2010-02-10,HTX,2009.0,Knee,1.0
Antwaun Molden,2009-11-26,2010-02-10,HTX,2009.0,Quadricep/Thigh,1.0
Mark Jones b,2009-10-30,2010-02-10,OTI,2009.0,Hamstring,1.0
Keith Bulluck,2009-12-21,2010-02-10,OTI,2009.0,ACL,1.0
Jason Jones b,2009-12-09,2010-02-10,OTI,2009.0,Shoulder,1.0
David Thornton,2009-12-21,2010-02-10,OTI,2009.0,Pectoral/Chest,1.0
Craig Hentrich,2009-09-29,2010-02-10,OTI,2009.0,Calf,1.0
Troy Nolan,2009-08-18,2010-02-10,HTX,2009.0,Not Specified,1.0
Steve Slaton,2009-12-09,2010-02-10,HTX,2009.0,Neck,1.0
Owen Daniels,2009-11-04,2010-02-10,HTX,2009.0,ACL,1.0
Mike Brisiel,2009-10-14,2010-02-10,HTX,2009.0,Foot,1.0
Khary Campbell,2009-10-06,2010-02-10,HTX,2009.0,Knee,1.0
Eugene Wilson,2009-11-25,2010-02-10,HTX,2009.0,Toe,1.0
Dominique Barber,2009-12-29,2010-02-10,HTX,2009.0,Hamstring,1.0
Chester Pitts,2009-09-23,2010-02-10,HTX,2009.0,Knee,1.0
Chaun Thompson,2009-09-30,2010-02-10,HTX,2009.0,Knee,1.0
Reggie Jones b 1986-03-15,2009-08-16,2010-02-10,NOR,2009.0,Achilles,1.0
Mark Simoneau,2009-08-16,2010-02-10,NOR,2009.0,Tricep,1.0
Marcus Mailei,2009-12-21,2010-02-10,NOR,2009.0,Not Specified,1.0
Leigh Torrence,2009-11-23,2010-02-10,NOR,2009.0,Shoulder,1.0
Chris Cooley,2009-11-30,2010-02-10,WAS,2009.0,Ankle,1.0
Chad Rinehart,2009-11-23,2010-02-10,WAS,2009.0,Fibula,1.0
Samari Rolle,2009-07-28,2010-02-10,RAV,2009.0,Not Specified,1.0
Quinn Sypniewski,2009-09-05,2010-02-10,RAV,2009.0,Knee,1.0
Matt Lawrence,2009-11-24,2010-02-10,RAV,2009.0,Knee,1.0
Marcus Smith Anthony,2009-08-18,2010-02-10,RAV,2009.0,Knee,1.0
Louis Saucedo,2009-07-28,2010-02-10,RAV,2009.0,Not Specified,1.0
Lardarius Webb,2009-12-21,2010-02-10,RAV,2009.0,ACL,1.0
Lamar Divens,2009-08-15,2010-02-10,RAV,2009.0,Hip,1.0
KJ Gerard,2009-12-25,2010-02-10,RAV,2009.0,Hamstring,1.0
Jason Phillips,2009-09-05,2010-02-10,RAV,2009.0,Knee,1.0
Haruki Nakamura,2009-11-18,2010-02-10,RAV,2009.0,Ankle,1.0
Fabian Washington,2009-11-24,2010-02-10,RAV,2009.0,ACL,1.0
Brendon Ayanbadejo,2009-10-05,2010-02-10,RAV,2009.0,Quadricep/Thigh,1.0
Chris Horton,2009-11-11,2010-02-10,WAS,2009.0,Toe,1.0
Adam Terry,2009-08-04,2010-02-10,RAV,2009.0,Knee,1.0
Chris Samuels b,2009-10-31,2010-02-10,WAS,2009.0,Neck,1.0
Colt Brennan,2009-09-05,2010-02-10,WAS,2009.0,Hip,1.0
Kendrick Clancy,2009-11-07,2010-02-10,NOR,2009.0,Knee,1.0
Jo-Lonn Dunbar,2009-12-08,2010-02-10,NOR,2009.0,Hamstring,1.0
Jammal Brown,2009-09-29,2010-02-10,NOR,2009.0,Hip,1.0
Heath Evans,2009-10-29,2010-02-10,NOR,2009.0,Knee,1.0
Dan Campbell Allen,2009-08-10,2010-02-10,NOR,2009.0,Knee,1.0
Chip Vaughn,2009-09-05,2010-02-10,NOR,2009.0,Knee,1.0
Charles Grant b,2010-01-05,2010-02-10,NOR,2009.0,Tricep,1.0
Billy Miller,2009-09-05,2010-02-10,NOR,2009.0,Achilles,1.0
Reed Doughty,2009-12-30,2010-02-10,WAS,2009.0,Ankle,1.0
Randy Thomas,2009-09-22,2010-02-10,WAS,2009.0,Tricep,1.0
Mike Williams Deshaun,2009-12-30,2010-02-10,WAS,2009.0,Toe,1.0
Ladell Betts,2009-11-23,2010-02-10,WAS,2009.0,ACL,1.0
Jeremy Jarmon,2009-11-30,2010-02-10,WAS,2009.0,ACL,1.0
Eddie Williams,2009-11-23,2010-02-10,WAS,2009.0,Fibula,1.0
Clinton Portis,2009-12-08,2010-02-10,WAS,2009.0,Concussion,1.0
Curtis Taylor,2009-12-01,2010-02-10,SFO,2009.0,Hip,1.0
Bryan Smith,2009-11-23,2010-02-10,JAX,2009.0,Shoulder,1.0
Kenny Phillips,2009-09-24,2010-02-10,NYG,2009.0,Knee,1.0
David Veikune,2010-01-02,2010-02-10,CLE,2009.0,Knee,1.0
Dave Zastudil,2009-11-18,2010-02-10,CLE,2009.0,Knee,1.0
DQwell Jackson,2009-10-20,2010-02-10,CLE,2009.0,Shoulder,1.0
Calvin Mosley,2009-12-07,2010-02-10,CLE,2009.0,Ankle,1.0
Brodney Pool,2009-12-02,2010-02-10,CLE,2009.0,Concussion,1.0
Brady Quinn,2009-12-22,2010-02-10,CLE,2009.0,Foot,1.0
Eric Barton,2009-11-10,2010-02-10,CLE,2009.0,Shoulder,1.0
Ryan Harris,2009-12-09,2010-02-10,DEN,2009.0,Toe,1.0
Nick Greisen,2009-08-04,2010-02-10,DEN,2009.0,Knee,1.0
Kenny McKinley,2009-12-28,2010-02-10,DEN,2009.0,Knee,1.0
JVonne Parker,2009-08-08,2010-02-10,DEN,2009.0,Knee,1.0
Darcel McBath,2009-12-14,2010-02-10,DEN,2009.0,Forearm,1.0
Todd Johnson,2010-01-02,2010-02-10,BUF,2009.0,Hamstring,1.0
Terrence McGee,2009-12-22,2010-02-10,BUF,2009.0,Shoulder,1.0
Russ Hochstein,2009-12-28,2010-02-10,DEN,2009.0,Knee,1.0
Jamal Lewis a,2009-12-02,2010-02-10,CLE,2009.0,Concussion,1.0
James Davis d,2009-10-03,2010-02-10,CLE,2009.0,Shoulder,1.0
Ryan Tucker,2009-09-01,2010-02-10,CLE,2009.0,Knee,1.0
Rod Wilson,2009-11-10,2010-02-10,TAM,2009.0,Hamstring,1.0
Josh Bidwell,2009-08-17,2010-02-10,TAM,2009.0,Hip,1.0
Jimmy Wilkerson,2009-12-28,2010-02-10,TAM,2009.0,ACL,1.0
Jermaine Phillips,2009-09-22,2010-02-10,TAM,2009.0,Thumb,1.0
Edjuan Biggers,2009-09-19,2010-02-10,TAM,2009.0,Shoulder,1.0
Earnest Graham,2009-12-28,2010-02-10,TAM,2009.0,Toe,1.0
Dirk Johnson,2009-11-30,2010-02-10,TAM,2009.0,Hamstring,1.0
Clifton Smith Jr,2009-12-08,2010-02-10,TAM,2009.0,Concussion,1.0
Byron Storer,2009-05-18,2010-02-10,TAM,2009.0,ACL,1.0
Byron Leftwich,2009-11-24,2010-02-10,TAM,2009.0,Not Specified,1.0
BJ Askew,2009-10-20,2010-02-10,TAM,2009.0,Foot,1.0
Angelo Crowell,2009-08-24,2010-02-10,TAM,2009.0,Bicep,1.0
Steve Heiden,2009-11-18,2010-02-10,CLE,2009.0,Knee,1.0
Shaun Rogers,2009-11-30,2010-02-10,CLE,2009.0,Leg,1.0
Seth McKinney,2009-11-25,2010-02-10,BUF,2009.0,Knee,1.0
Nic Harris,2010-01-01,2010-02-10,BUF,2009.0,Knee,1.0
Dan Santucci,2009-08-20,2010-02-10,CIN,2009.0,Foot,1.0
Chase Coffman,2009-12-09,2010-02-10,CIN,2009.0,Ankle,1.0
Antwan Odom,2009-10-19,2010-02-10,CIN,2009.0,Achilles,1.0
Pisa Tinoisamoa,2009-12-02,2010-02-10,CHI,2009.0,Knee,1.0
Kevin Jones S,2009-09-05,2010-02-10,CHI,2009.0,Ankle,1.0
Israel Idonije,2009-12-30,2010-02-10,CHI,2009.0,Foot,1.0
Henry Melton,2009-09-05,2010-02-10,CHI,2009.0,Ankle,1.0
Garrett Wolfe,2009-11-20,2010-02-10,CHI,2009.0,Not Specified,1.0
Charles Tillman,2009-12-30,2010-02-10,CHI,2009.0,Rib/Lung,1.0
Brian Urlacher,2009-09-14,2010-02-10,CHI,2009.0,Wrist,1.0
Adewale Ogunleye,2009-12-27,2010-02-10,CHI,2009.0,Leg,1.0
