Date,Team,Acquired,Relinquished,Notes,Year
2010-05-11,Jaguars,,Bryan Smith,placed on IR with torn ACL in right knee,2010
2010-05-11,Steelers,,Limas Sweed,placed on IR with Achilles tendon injury,2010
2010-05-19,Buccaneers,,Byron Storer,placed on IR,2010
2010-05-22,Bears,,Brett Basanez,placed on IR with wrist injury,2010
2010-05-27,Titans,,Dominique Lindsay,placed on IR with Achilles tendon injury,2010
2010-06-02,Bears,,Lawrence Wilson (b),placed on IR,2010
2010-06-10,Eagles,,Marlin Jackson,placed on IR with Achilles tendon injury,2010
2010-06-14,Broncos,,Braxton Kelley,placed on IR (CBC),2010
2010-06-16,Titans,,Roderick Hood / Rod Hood,placed on IR with torn ACL in knee,2010
2010-07-07,Lions,,Copeland Bryan,placed on IR with knee injury,2010
2010-07-21,Bengals,,Jason Shirley,placed on non-football injury list with Achilles tendon injury,2010
2010-07-21,Steelers,,Willie Colon,placed on IR with right Achilles tendon injury,2010
2010-07-22,Bills,,Joe Klopfenstein,placed on IR with undisclosed injury,2010
2010-07-24,Cowboys,,Lorenzo Washington,placed on physically unable to perform list with hamstring injury,2010
2010-07-27,Browns,,Calvin Mosley / C.J. Mosley,placed on physically unable to perform list with ankle injury,2010
2010-07-27,Browns,,Coye Francies,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Browns,,Shaun Rogers,placed on physically unable to perform list with leg injury,2010
2010-07-27,Patriots,,Kade Weston,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Patriots,,Shawn Crable,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Patriots,,Wes Welker,placed on physically unable to perform list recovering from surgery on knee,2010
2010-07-27,Ravens,,Brendon Ayanbadejo,placed on physically unable to perform list with quadriceps injury,2010
2010-07-27,Ravens,,Ed Reed,placed on physically unable to perform list with hip injury,2010
2010-07-27,Ravens,,Fabian Washington,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Lardarius Webb,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Matt Birk,placed on physically unable to perform list with neck injury,2010
2010-07-27,Ravens,,Matt Lawrence,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Oniel Cousins,placed on physically unable to perform list with throat ailment,2010
2010-07-27,Ravens,,Prince Miller,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Ravens,,Rodelin Anthony,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Terrence Cody,placed on physically unable to perform list for conditioning,2010
2010-07-27,Ravens,,Walt Harris (Lee),placed on physically unable to perform list for conditioning,2010
2010-07-28,Broncos,,Darrell Reid,placed on physically unable to perform list,2010
2010-07-28,Broncos,,Jamal Williams,placed on physically unable to perform list for undisclosed reason,2010
2010-07-28,Broncos,,Ryan Clady,placed on non-football injury list with knee injury,2010
2010-07-28,Panthers,,Duke Robinson,placed on physically unable to perform list for conditioning,2010
2010-07-28,Panthers,,Jeff Otah,placed on physically unable to perform list with knee injury,2010
2010-07-28,Panthers,,Jonathan Stewart (Creon),placed on physically unable to perform list with Achilles tendon injury,2010
2010-07-28,Panthers,,Louis Leonard,placed on physically unable to perform list for undisclosed reason,2010
2010-07-28,Panthers,,Steve Smith (Latrall) / Steve Smith Sr.,placed on physically unable to perform list with arm injury,2010
2010-07-28,Panthers,,Thomas Davis,placed on physically unable to perform list with knee injury,2010
2010-07-29,Bills,,Jon Corto,placed on physically unable to perform list with wrist injury,2010
2010-07-29,Bills,,Nic Harris,placed on physically unable to perform list,2010
2010-07-29,Chiefs,,Brad Cottam,placed on physically unable to perform list with neck injury,2010
2010-07-29,Jets,,Erik Ainge,placed on non-football injury list,2010
2010-07-29,Jets,,Joe McKnight,placed on non-football injury list,2010
2010-07-29,Ravens,,Todd Heap,placed on active/non-football injury list with tonsillitis,2010
2010-07-29,Saints,,Clint Ingram,placed on physically unable to perform list,2010
2010-07-29,Saints,,Darren Sharper,placed on physically unable to perform list,2010
2010-07-29,Saints,,Robert Meachem,placed on physically unable to perform list,2010
2010-07-30,Jaguars,,Jarett Dillard,placed on physically unable to perform list,2010
2010-07-30,Jaguars,,Zach Miller (Scott),placed on physically unable to perform list,2010
2010-07-30,Rams,,Mark Setterstrom,placed on physically unable to perform list with triceps injury,2010
2010-07-31,Cardinals,,Gerald Hayes,placed on physically unable to perform list with back injury,2010
2010-07-31,Cardinals,,O'Brien Schofield,placed on physically unable to perform list with knee injury,2010
2010-07-31,Seahawks,,Chester Pitts,placed on physically unable to perform list with knee injury,2010
2010-07-31,Seahawks,,Josh Pinkard,placed on physically unable to perform list for undisclosed reasons,2010
2010-07-31,Seahawks,,Owen Schmitt,placed on physically unable to perform list with elbow injury,2010
2010-07-31,Titans,,(Robert) Tony Brown,placed on physically unable to perform list,2010
2010-07-31,Titans,,Damian Williams,placed on physically unable to perform list,2010
2010-07-31,Titans,,David Thornton,placed on physically unable to perform list,2010
2010-07-31,Titans,,Jamar Love,placed on physically unable to perform list,2010
2010-07-31,Titans,,Nick Schommer,placed on physically unable to perform list,2010
2010-07-31,Titans,,Willie Rose,placed on physically unable to perform list,2010
2010-08-01,Dolphins,,Phillip Merling,placed on physically unable to perform list with Achilles tendon injury,2010
2010-08-01,Jets,,Kellen Clemens,placed on physically unable to perform list with calf injury,2010
2010-08-01,Jets,,Kris Jenkins,placed on physically unable to perform list with hamstring injury,2010
2010-08-01,Patriots,Wes Welker,,activated from physically unable to perform list,2010
2010-08-01,Ravens,,Domonique Foxworth,placed on IR with torn ACL in right knee,2010
2010-08-01,Ravens,Todd Heap,,activated from active/non-football injury list,2010
2010-08-02,Texans,,Glenn Martinez,placed on IR with hamstring injury,2010
2010-08-04,Dolphins,,A.J. Edds,placed on IR with torn ACL in right knee,2010
2010-08-04,Seahawks,,Jameson Konz,placed on IR with hip injury,2010
2010-08-04,Texans,,Justin Griffith,placed on IR with spinal cord concussion,2010
2010-08-05,Broncos,,Josh Barrett,placed on IR with shoulder injury,2010
2010-08-05,Broncos,,Kenny McKinley,placed on IR with knee injury,2010
2010-08-05,Broncos,Jamal Williams,,activated from physically unable to perform list,2010
2010-08-05,Packers,,Jeff Moturi,placed on IR with knee injury,2010
2010-08-06,Rams,,Chris Hovan,placed on IR with back injury,2010
2010-08-06,Rams,,Mark Lewis (b),placed on IR for undisclosed reasons,2010
2010-08-06,Ravens,,Walt Harris (Lee),placed on IR with Achilles tendon injury,2010
2010-08-07,Browns,,Chris Roberson,placed on IR with right leg injury,2010
2010-08-10,Colts,,John Gill,placed on reserve/non-football injury list,2010
2010-08-10,Packers,,Josh Bell,placed on IR,2010
2010-08-10,Raiders,,Jonathan Holland,placed on IR with ankle injury,2010
2010-08-11,49ers,,Martail Burnett,placed on IR with right knee injury,2010
2010-08-11,Bengals,,Cordera Eason,placed on IR with foot injury,2010
2010-08-12,Bears,,Harvey Unga,placed on IR with right hamstring injury,2010
2010-08-12,Dolphins,,Evan Oglesby,placed on IR with left ankle injury,2010
2010-08-12,Steelers,,Andre Frazier,placed on IR with knee injury,2010
2010-08-13,Patriots,,Ty Warren,placed on IR with hip injury,2010
2010-08-14,49ers,,Scott McKillop,placed on IR with torn ACL in left knee,2010
2010-08-14,Chiefs,,Tervaris Johnson,placed on IR with leg injury,2010
2010-08-15,Eagles,,Antoine Harris,placed on IR with foot injury,2010
2010-08-15,Patriots,,Torry Holt,placed on IR with knee injury,2010
2010-08-15,Saints,,Lynell Hamilton,placed on IR with knee injury,2010
2010-08-16,Lions,,Jordon Dizon,placed on IR with knee injury,2010
2010-08-16,Lions,Ko Simpson,,activated from physically unable to perform list,2010
2010-08-16,Panthers,Steve Smith (Latrall) / Steve Smith Sr.,,activated from physically unable to perform list,2010
2010-08-16,Saints,Robert Meachem,,activated from physically unable to perform list,2010
2010-08-16,Texans,,Ben Tate (b),placed on IR with ankle injury,2010
2010-08-16,Texans,,Tim Bulman,placed on IR with shoulder injury,2010
2010-08-17,Browns,,Dave Zastudil,placed on IR with right knee injury,2010
2010-08-18,Lions,,Richard Dickson,placed on IR with knee injury,2010
2010-08-18,Titans,,Stafon Johnson,placed on IR with right ankle and leg injury,2010
2010-08-19,Raiders,,Charlie Frye,placed on IR with right wrist injury,2010
2010-08-19,Redskins,,Mike Furrey,placed on IR with concussion,2010
2010-08-20,49ers,,Chris Patrick,placed on IR with shoulder injury,2010
2010-08-20,Falcons,,Kerry Meier,placed on IR with knee injury,2010
2010-08-20,Jaguars,,Freddy Keiaho,placed on IR with concussion,2010
2010-08-20,Texans,,Darnell Bing,placed on IR with neck injury,2010
2010-08-21,Saints,,Marcus Mailei,placed on IR with undisclosed injury,2010
2010-08-21,Vikings,,Jaymar Johnson,placed on IR with broken left thumb,2010
2010-08-22,Bills,,Danny Batten,placed on IR with right shoulder injury (surgery),2010
2010-08-22,Bills,,Marcus Easley,placed on IR with left knee injury,2010
2010-08-23,Jets,,Ropati Pitoitua,placed on IR with left Achilles tendon injury,2010
2010-08-23,Saints,,P.J. Hill,placed on IR with left leg injury,2010
2010-08-24,Patriots,,Kade Weston,placed on IR with undisclosed injury,2010
2010-08-27,Lions,,Jared DeVries,placed on IR with knee injury,2010
2010-08-28,Colts,,Marcus McCauley,placed on IR with undisclosed injury,2010
2010-08-29,Bengals,,Gibril Wilson,placed on IR with torn ACL and MCL in left knee,2010
2010-08-30,Bengals,,Tom Nelson,placed on physically unable to perform list with knee injury,2010
2010-08-30,Colts,,Kevin Thomas (c),placed on IR with knee injury,2010
2010-08-30,Cowboys,,John Phillips (Matthew),placed on IR with torn ACL in right knee,2010
2010-08-30,Cowboys,,Stephen Hodge,placed on physically unable to perform list with knee injury,2010
2010-08-30,Rams,,Donnie Avery,placed on IR with torn ACL in right knee,2010
2010-08-30,Ravens,,Daniel Sanders,placed on IR with shoulder injury,2010
2010-08-30,Ravens,,Marcus Paschal,placed on IR with right leg injury,2010
2010-08-30,Texans,,Ben Tate (b),placed on IR,2010
2010-08-30,Texans,,Trindon Holliday,placed on IR with thumb injury,2010
2010-08-30,Texans,Owen Daniels,,activated from physically unable to perform list,2010
2010-08-30,Seahawks,,Jonathan Lewis,placed on IR with thumb injury (CBC CBS NFL),2010
2010-08-31,Bears,,Will Ta'ufo'ou,placed on IR with right knee injury (CBC),2010
2010-08-31,Browns,,Titus Adams,placed on IR with leg injury,2010
2010-08-31,Buccaneers,,Jon Alston (b. 1983-06-04),placed on IR with undisclosed injury,2010
2010-08-31,Cardinals,,Nehemiah Broughton,placed on IR with torn ACL in knee,2010
2010-08-31,Cardinals,,O'Brien Schofield,placed on reserve/non-football injury list with knee injury,2010
2010-08-31,Chargers,,Donald Butler,placed on IR with Achilles tendon injury,2010
2010-08-31,Dolphins,,Nate Garner,placed on IR with foot injury,2010
2010-08-31,Dolphins,,Phillip Merling,placed on reserve/non-football injury list with Achilles tendon injury,2010
2010-08-31,Eagles,,Ricky Sapp,placed on IR with knee injury,2010
2010-08-31,Eagles,,Victor Abiamiri,placed on physically unable to perform list with knee injury,2010
2010-08-31,Giants,,Adrian Tracy,placed on IR with elbow injury,2010
2010-08-31,Giants,,Jim Sorgi,placed on IR with right shoulder injury,2010
2010-08-31,Giants,,Kevin Boothe,placed on physically unable to perform list with torn pectoral muscle,2010
2010-08-31,Giants,,Sinorice Moss,placed on IR with sports hernia,2010
2010-08-31,Jaguars,,D'Anthony Smith,placed on IR with Achilles tendon injury,2010
2010-08-31,Jaguars,,John Estes,placed on IR with knee injury,2010
2010-08-31,Lions,,Jack Williams (b),placed on physically unable to perform list with knee injury,2010
2010-08-31,Packers,,Al Harris (b. 1974-12-07),placed on physically unable to perform list recovering from surgery on knee,2010
2010-08-31,Packers,,Atari Bigby,placed on physically unable to perform list with ankle injury,2010
2010-08-31,Packers,,James Starks,placed on physically unable to perform list with hamstring injury,2010
2010-08-31,Packers,,Quinn Porter,placed on IR with sprained MCL in left knee,2010
2010-08-31,Panthers,,Hilee Taylor,placed on IR with knee injury,2010
2010-08-31,Panthers,,Thomas Davis,placed on physically unable to perform list with torn ACL in right knee,2010
2010-08-31,Panthers,,Wallace Wright,placed on IR with shoulder injury,2010
2010-08-31,Patriots,,Bret Lockett,placed on IR with chest injury,2010
2010-08-31,Patriots,,Darryl Richard,placed on IR with foot injury,2010
2010-08-31,Patriots,,Josh Barrett,placed on IR with shoulder injury,2010
2010-08-31,Patriots,,Leigh Bodden,placed on IR with shoulder injury,2010
2010-08-31,Ravens,,Brendon Ayanbadejo,placed on physically unable to perform list with torn left quadriceps,2010
2010-08-31,Ravens,,Matt Lawrence,placed on physically unable to perform list with knee injury,2010
2010-08-31,Redskins,,Malcolm Kelly,placed on IR with knee injury,2010
2010-08-31,Steelers,,Chris Scott (b),placed on physically unable to perform list with foot injury,2010
2010-08-31,Titans,(Robert) Tony Brown,,activated from physically unable to perform list,2010
2010-08-31,Vikings,,Jeremy Leman / J Leman,placed on IR with toe injury,2010
2010-08-31,Vikings,,Sidney Rice,placed on physically unable to perform list with hip injury,2010
2010-08-31,Steelers,Andre Frazier,,activated from IR,2010
2010-08-31,Panthers,,Dexter Jackson (M.),placed on physically unable to perform list,2010
2010-09-01,Ravens,,Mike McLaughlin (b),placed on IR with sports hernia,2010
2010-09-01,Seahawks,,Josh Pinkard,placed on reserve/non-football injury list with knee injury,2010
2010-09-03,Broncos,,LenDale White,placed on IR with Achilles tendon injury,2010
2010-09-03,Browns,,Montario Hardesty,placed on IR with left knee injury,2010
2010-09-03,Cardinals,,Gerald Hayes,placed on physically unable to perform list with back injury,2010
2010-09-04,Bills,,Jon Corto,placed on reserve/physically unable to perform list with wrist injury,2010
2010-09-04,Broncos,,Ben Garland,placed on reserve/non-football injury list / military list (CBC E),2010
2010-09-04,Broncos,,Brandon Stokley,placed on IR for undisclosed reason,2010
2010-09-04,Broncos,,Elvis Dumervil,placed on IR with pectoral injury,2010
2010-09-04,Browns,Shaun Rogers,,activated from physically unable to perform list,2010
2010-09-04,Buccaneers,,Brandon Gilbeaux,placed on IR with ankle injury,2010
2010-09-04,Buccaneers,,Demar Dotson,placed on IR with undisclosed injury,2010
2010-09-04,Chiefs,,Jerheme Urban,placed on IR with finger injury,2010
2010-09-04,Chiefs,,Maurice Leggett,placed on IR with neck injury,2010
2010-09-04,Jaguars,,Kyle Bosworth,placed on IR with undisclosed injury,2010
2010-09-04,Packers,,Allen Barbre,placed on IR with back injury,2010
2010-09-04,Packers,,Will Blackmon,placed on IR with knee injury,2010
2010-09-04,Panthers,,C.J. Davis,placed on IR with concussion,2010
2010-09-04,Panthers,,Duke Robinson,placed on IR with knee injury,2010
2010-09-04,Patriots,,Brandon McGowan,placed on IR with chest injury,2010
2010-09-04,Rams,,Eric Young,placed on IR with knee injury,2010
2010-09-04,Rams,,Kevin Payne,placed on IR with knee injury,2010
2010-09-04,Ravens,,David Hale,placed on IR with back injury,2010
2010-09-04,Ravens,,Ed Reed,placed on reserve/physically unable to perform list with hip injury,2010
2010-09-04,Ravens,,Kelly Talavou,placed on IR with knee injury,2010
2010-09-04,Ravens,,Ramon Harewood,placed on IR with knee injury,2010
2010-09-04,Ravens,,Stefan Rodgers,placed on IR with ankle injury,2010
2010-09-04,Saints,,Clint Ingram,placed on physically unable to perform list,2010
2010-09-04,Saints,,Darren Sharper,placed on physically unable to perform list,2010
2010-09-04,Saints,,Jonathan Casillas,placed on IR with foot injury,2010
2010-09-04,Seahawks,,Ray Willis,placed on IR with knee injury,2010
2010-09-04,Texans,,Andre' Davis / Andre Davis (a),placed on IR with hip/tailbone injury,2010
2010-09-04,Texans,,Kris Brown,placed on IR with foot injury,2010
2010-09-04,Titans,,David Thornton,placed on reserve/physically unable to perform list with hip injury,2010
2010-09-04,Bengals,Cordera Eason,,activated from IR,2010
2010-09-04,Panthers,,Aaron Francisco,placed on IR with hamstring injury,2010
2010-09-04,Giants,,Alex Hall,placed on IR with shoulder injury,2010
2010-09-04,Giants,,Courtney Brown (Leonard),placed on IR with ankle injury,2010
2010-09-05,Bengals,,Taufui Vakapuna / Fui Vakapuna,placed on IR with shoulder injury,2010
2010-09-05,Bills,,Derek Schouman,placed on IR with knee injury,2010
2010-09-05,Buccaneers,,Jonathan Compas,placed on IR with undisclosed injury,2010
2010-09-05,Dolphins,,Will Allen (D.),placed on IR with left knee injury,2010
2010-09-05,Raiders,,Alex Daniels,placed on IR with undisclosed injury,2010
2010-09-05,Raiders,,Jay Richardson,placed on IR with knee injury,2010
2010-09-05,Raiders,,Joey Thomas,placed on IR with concussion,2010
2010-09-05,Texans,,Anthony Hill,placed on physically unable to perform list with knee injury,2010
2010-09-06,Packers,Quinn Porter,,activated from IR,2010
2010-09-08,Bills,Derek Schouman,,activated from IR,2010
2010-09-08,Panthers,C.J. Davis,,activated from IR,2010
2010-09-08,Texans,Kris Brown,,activated from IR,2010
2010-09-09,Ravens,Mike McLaughlin (b),,activated from IR,2010
2010-09-10,Bills,,Kawika Mitchell,placed on IR with foot injury,2010
2010-09-11,Colts,,Tony Ugoh,placed on IR with toe injury,2010
2010-09-11,Jaguars,,Jarett Dillard,placed on IR with left foot/toe injury,2010
2010-09-13,Eagles,,Jamaal Jackson,placed on IR with torn triceps in right arm (out for season),2010
2010-09-13,Eagles,,Leonard Weaver,placed on IR with torn ACL in left knee (out for season),2010
2010-09-13,Raiders,Alex Daniels,,activated from IR,2010
2010-09-13,Rams,Eric Young,,activated from IR,2010
2010-09-14,Bears,,Hunter Hillenmeyer,placed on IR with concussion,2010
2010-09-14,Lions,,Aaron Berry,placed on IR with right shoulder injury,2010
2010-09-14,Packers,,Justin Harrell,placed on IR with torn ACL in left knee,2010
2010-09-14,Packers,,Ryan Grant (Brett),placed on IR with ankle injury,2010
2010-09-14,Seahawks,,Max Unger,placed on IR with left toe injury,2010
2010-09-14,Texans,,Connor Barwin,placed on IR with right ankle injury,2010
2010-09-14,Ravens,David Hale,,activated from IR,2010
2010-09-14,Ravens,Stefan Rodgers,,activated from IR,2010
2010-09-15,Chargers,,David Binn,placed on IR with hamstring injury,2010
2010-09-15,Chiefs,,Cameron Sheffield,placed on IR with neck injury,2010
2010-09-15,Jets,,Kris Jenkins,placed on IR with torn ACL in left knee,2010
2010-09-15,Jets,Kevin O'Connell,,activated from IR,2010
2010-09-15,Rams,,Josh Hull,placed on IR with torn ACL in left knee,2010
2010-09-15,Broncos,Brandon Stokley,,activated from IR,2010
2010-09-15,Colts,Marcus McCauley,,activated from IR,2010
2010-09-17,Chargers,,James Dearth,placed on IR with foot injury,2010
2010-09-17,Panthers,,Charly Martin,placed on IR with concussion,2010
2010-09-20,Broncos,,Kenny McKinley,activated from IR,2010
2010-09-21,Browns,,Kaluka Maiava,placed on IR with right leg injury,2010
2010-09-21,Falcons,,Jerious Norwood,placed on IR with knee injury,2010
2010-09-21,Jaguars,,Luke McCown,placed on IR with torn ACL in knee,2010
2010-09-21,Browns,Kwaku Danso,,activated from IR,2010
2010-09-21,Colts,Tony Ugoh,,activated from IR,2010
2010-09-21,Raiders,Jonathan Holland,,activated from IR,2010
2010-09-22,Jaguars,,Scotty McGee,placed on IR with shoulder injury,2010
2010-09-22,Patriots,,Kevin Faulk,placed on IR with torn ACL in right knee,2010
2010-09-23,Ravens,,Sergio Kindle,placed on reserve/non-football injury list with fractured skull,2010
2010-09-24,Buccaneers,Jonathan Compas,,activated from IR,2010
2010-09-25,Browns,,D'Qwell Jackson,placed on IR with pectoral muscle injury,2010
2010-09-27,Colts,,Ramon Humber,placed on IR with hand injury,2010
2010-09-27,Rams,,Dominique Curry,placed on IR with torn ACL in right knee,2010
2010-09-28,Chargers,,James Holt,placed on IR with shoulder injury,2010
2010-09-28,Chargers,,Ryan Neill,placed on IR with knee injury,2010
2010-09-28,Giants,,Michael Johnson (b),placed on IR with back injury,2010
2010-09-28,Colts,Donye McCleskey / Donye' McCleskey,,activated from IR,2010
2010-10-01,Seahawks,,LeRoy Hill,placed on IR with Achilles tendon / calf injury,2010
2010-10-01,Bills,Kawika Mitchell,,activated from IR,2010
2010-10-02,Steelers,,Dennis Dixon,placed on IR with left knee injury,2010
2010-10-04,Chargers,,Jyles Tucker,placed on IR with pectoral injury,2010
2010-10-04,Packers,,Morgan Burnett,placed on IR with knee injury,2010
2010-10-04,Titans,,Derrick Morgan,placed on IR with torn ACL in left knee,2010
2010-10-05,Colts,,Devin Moore,placed on IR with neck injury,2010
2010-10-05,Colts,,Melvin Bullitt,placed on IR with shoulder injury,2010
2010-10-05,Saints,,Chris Reis,placed on IR with shoulder injury,2010
2010-10-05,Raiders,Joey Thomas,,activated from IR,2010
2010-10-06,Rams,,Marquis Johnson,placed on IR with knee injury,2010
2010-10-06,Bills,Joe Klopfenstein,,activated from IR,2010
2010-10-07,Redskins,,Josh Bidwell,placed on IR with right hip injury,2010
2010-10-08,Texans,Justin Griffith,,activated from IR,2010
2010-10-11,Rams,,Mark Clayton (b),placed on IR with torn patellar tendon in right knee,2010
2010-10-12,Patriots,,Nick Kaczur,placed on IR with back injury,2010
2010-10-12,Rams,,Darcy Johnson,placed on IR with concussion,2010
2010-10-13,Chargers,,Shawne Merriman,placed on IR with calf injury,2010
2010-10-13,Giants,Michael Greco,,activated from IR,2010
2010-10-13,Packers,,Derrick Martin (b),placed on IR with knee injury,2010
2010-10-13,Titans,,Colin Allred,placed on IR with neck injury,2010
2010-10-13,Vikings,,Cedric Griffin,placed on IR with torn ACL in right knee,2010
2010-10-15,Lions,,Spencer Havner,placed on IR with hamstring injury,2010
2010-10-15,Packers,,Nick Barnett,placed on IR with wrist injury,2010
2010-10-16,Giants,,Victor Cruz,placed on IR with hamstring injury,2010
2010-10-18,49ers,,Curtis Taylor,placed on IR with quadriceps injury,2010
2010-10-18,Broncos,,Matthew Willis / Matt Willis,placed on IR with foot injury,2010
2010-10-18,Packers,,Jermichael Finley,placed on IR with right knee injury,2010
2010-10-19,Buccaneers,,Kareem Huggins,placed on IR with torn ACL in right knee,2010
2010-10-19,Colts,,Brandon King (Marico),placed on IR with hamstring injury,2010
2010-10-19,Lions,Jack Williams (b),,activated from physically unable to perform list,2010
2010-10-19,Texans,Trey Stross,,activated from IR,2010
2010-10-19,Vikings,Jeremy Leman / J Leman,,activated from IR,2010
2010-10-20,Bengals,Tom Nelson,,activated from physically unable to perform list,2010
2010-10-20,Browns,,Robaire Smith,placed on IR with back injury,2010
2010-10-20,Browns,,Tony Pashos,placed on IR with ankle injury,2010
2010-10-20,Saints,,Randall Gay,placed on IR with concussion,2010
2010-10-22,Bills,Jon Corto,,activated from physically unable to perform list,2010
2010-10-22,Colts,,Dallas Clark,placed on IR with wrist injury,2010
2010-10-22,Dolphins,,Jared Odrick,placed on IR with left foot injury,2010
2010-10-23,Chargers,,Kion Wilson,placed on IR with ankle injury,2010
2010-10-23,Ravens,,Jared Gaither,placed on IR with back injury,2010
2010-10-23,Ravens,Brendon Ayanbadejo,,activated from physically unable to perform list,2010
2010-10-23,Ravens,Ed Reed,,activated from physically unable to perform list,2010
2010-10-23,Saints,Darren Sharper,,activated from physically unable to perform list,2010
2010-10-25,Texans,,DeMeco Ryans,placed on IR with torn left Achilles tendon,2010
2010-10-26,Bengals,,Adam Jones / Pacman Jones,placed on IR with neck injury,2010
2010-10-26,Jaguars,,Eben Britton,placed on IR with shoulder injury,2010
2010-10-26,Packers,,Brady Poppinga,placed on IR with knee injury,2010
2010-10-26,Packers,,Mike Neal,placed on IR with shoulder injury,2010
2010-10-27,Lions,,Zack Follett,placed on IR with neck injury,2010
2010-10-27,Packers,,Brad Jones (a),placed on IR with right shoulder injury,2010
2010-10-27,Panthers,,Jamar Williams,placed on IR with neck injury,2010
2010-10-27,Rams,,Clifton Ryan,placed on IR with migraine headaches,2010
2010-10-28,Falcons,,Robbie Agnone,placed on IR with foot injury (out for season),2010
2010-10-28,Giants,,Mathias Kiwanuka,placed on IR with neck injury,2010
2010-10-30,Cardinals,Gerald Hayes,,activated from physically unable to perform list,2010
2010-10-30,Cardinals,O'Brien Schofield,,activated from physically unable to perform list / non-football injury list (CBC E SN),2010
2010-10-30,Dolphins,,Deon Anderson,placed on IR with triceps injury,2010
2010-11-01,49ers,,Eric Heitmann,placed on IR with neck injury,2010
2010-11-01,Giants,,Bruce Johnson (b),placed on IR with knee injury,2010
2010-11-02,Buccaneers,,Brian Price (Larisso),placed on IR with pelvis injury,2010
2010-11-02,Chargers,,Craig Davis / Buster Davis (b),placed on IR with groin injury,2010
2010-11-02,Seahawks,,Ben Hamilton,placed on IR with concussion,2010
2010-11-02,Seahawks,,Joseph Bryant / Red Bryant,placed on IR with knee injury,2010
2010-11-02,Chargers,Shawne Merriman,,activated from IR,2010
2010-11-03,Bills,,Cornell Green (Duane),placed on IR with knee injury,2010
2010-11-03,Patriots,,Darnell Jenkins,placed on IR (E),2010
2010-11-03,Titans,,Jamie Winborn,placed on IR with shoulder injury,2010
2010-11-03,Vikings,Sidney Rice,,activated from physically unable to perform list,2010
2010-11-06,Colts,,Anthony Gonzalez,placed on IR with knee injury,2010
2010-11-06,Packers,Atari Bigby,,activated from physically unable to perform list,2010
2010-11-08,Bills,,Andra Davis,placed on IR with shoulder injury,2010
2010-11-08,Bills,,Roscoe Parrish,placed on IR with broken left wrist,2010
2010-11-08,Panthers,,Dan Connor (a),placed on IR with hip injury,2010
2010-11-08,Panthers,,Matt Moore,placed on IR with right shoulder injury,2010
2010-11-08,Panthers,,Thomas Davis,placed on IR with torn ACL in right knee,2010
2010-11-08,Redskins,,Chris Horton,placed on IR with right ankle injury,2010
2010-11-09,Cardinals,,Kenny Iwebema,placed on IR with knee injury,2010
2010-11-09,Giants,,Adam Koets,placed on IR with torn ACL in left knee,2010
2010-11-09,Giants,Kevin Boothe,,activated from physically unable to perform list,2010
2010-11-09,Packers,James Starks,,activated from physically unable to perform list,2010
2010-11-09,Panthers,,Jeff Otah,placed on IR with knee injury,2010
2010-11-09,Seahawks,Josh Pinkard,,activated from physically unable to perform list,2010
2010-11-09,Colts,Ramon Humber,,activated from IR,2010
2010-11-09,Giants,Sinorice Moss,,activated from IR,2010
2010-11-10,Cowboys,,Akwasi Owusu-Ansah,placed on IR with ankle injury,2010
2010-11-10,Cowboys,,Marcus Spears (Rayshon),placed on IR with calf injury,2010
2010-11-10,Patriots,,Stephen Gostkowski,placed on IR with thigh injury,2010
2010-11-10,Steelers,,Max Starks,placed on IR with neck injury,2010
2010-11-10,Steelers,Chris Scott (b),,activated from physically unable to perform list,2010
2010-11-11,Texans,,Dominique Barber,placed on IR with knee injury,2010
2010-11-11,Browns,Dave Zastudil,,activated from IR,2010
2010-11-12,Jaguars,,Aaron Kampman,placed on IR with knee injury (surgery),2010
2010-11-12,Packers,,Mark Tauscher,placed on IR with shoulder injury,2010
2010-11-13,Bengals,,Andre Smith (Dewayne),placed on IR with foot injury,2010
2010-11-13,Texans,,Karl Paymah,placed on IR with wrist injury,2010
2010-11-15,Bengals,,Mike Nugent,placed on IR with torn ACL in right knee,2010
2010-11-15,Bengals,,Morgan Trent,placed on IR with knee injury,2010
2010-11-15,Browns,,Billy Yates,placed on IR with biceps injury,2010
2010-11-15,Dolphins,,Chad Pennington,placed on IR with right shoulder injury,2010
2010-11-16,Cardinals,,Brandon Keith,placed on IR with knee injury,2010
2010-11-16,Giants,,Ramses Barden,placed on IR with left leg and foot injury,2010
2010-11-17,Chiefs,,Mark Simoneau,placed on IR,2010
2010-11-17,Lions,,Jack Williams (b),placed on IR with knee injury,2010
2010-11-17,Panthers,,DeAngelo Williams,placed on IR with foot injury,2010
2010-11-17,Rams,,Fendi Onobun,placed on IR with back injury,2010
2010-11-18,Bengals,,Jonathan Fanene,placed on IR with hamstring injury,2010
2010-11-18,Chiefs,Mark Simoneau,,activated from IR,2010
